Framework,Minimum Z,Maximum Z,Range Z,Mean Z,Std_dev Z,Minimum van_der_waals_radius,Maximum van_der_waals_radius,Range van_der_waals_radius,Mean van_der_waals_radius,Std_dev van_der_waals_radius,Minimum mendeleev_no,Maximum mendeleev_no,Range mendeleev_no,Mean mendeleev_no,Std_dev mendeleev_no,Minimum molar_volume,Maximum molar_volume,Range molar_volume,Mean molar_volume,Std_dev molar_volume,Minimum thermal_conductivity,Maximum thermal_conductivity,Range thermal_conductivity,Mean thermal_conductivity,Std_+Z:AGv thermal_conductivity,Minimum boiling_point,Maximum boiling_point,Range boiling_point,Mean boiling_point,Std_dev boiling_point,Minimum melting_point,Maximum melting_point,Range melting_point,Mean melting_point,Std_dev melting_point,Minimum liquid_Range,Maximum liquid_Range,LCD,PLD,GCD,PLD-a,PLD-b,PLD-c,LCD-a,LCD-b,LCD-c,Number of channels,Max dimension of channel,Min dimension of channel,Unitcell_volume,Density,ASA_A^2,ASA_m^2/cm^3,ASA_m^2/g,NASA_A^2,NASA_m^2/cm^3,NASA_m^2/g,AV_A^3,AV_Volume_fraction,AV_cm^3/g,NAV_A^3,NAV_Volume_fraction,NAV_cm^3/g,Ring topology size-3,Ring topology size-4,Ring topology size-5,Ring topology size-6,Ring topology size-7,Ring topology size-8,Ring topology size-9,Ring topology size-10,Ring topology size-11,Ring topology size-12,Ring topology size-13,Ring topology size-14,Ring topology size-15,Ring topology size-16,Ring topology size-17,Ring topology size-18,Ring topology size-19,Ring topology size-20,Ring topology size-21,Ring topology size-22,Ring topology size-23,Ring topology size-24,Ring topology size-25,Ring topology size-26,Ring topology size-27,Ring topology size-28,Ring topology size-29,Ring topology size-30,Cluster
SOD,8,48,40,17.36842105,21.88606863,1.52,2.18,0.66,1.750526316,0.415180684,75,101,26,93.0,14.9415528,12.06,17.36,5.3,15.60526316,3.174035287,0.02658,150.0,149.97342,44.12205053,82.12051238,90.2,3173.0,3082.8,776.9157895,1513.876165,54.8,1687.0,1632.2,426.0778947,804.2968355,35.4,1486.0,2.84425,0.79811,2.84425,0.79811,0.79811,0.79811,2.84425,2.84425,2.84425,0,0,0,628.036,3.83854,0.0,0.0,0.0,0.188979,3.00904,0.783903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,5
FER,8,14,6,10.0,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150.0,149.97342,50.01772,106.0472223,90.2,3173.0,3082.8,1117.8,2179.868785,54.8,1687.0,1632.2,598.8666667,1154.139688,35.4,1486.0,5.86474,4.56751,5.44763,1.45656,3.27191,4.56751,5.86474,5.44763,5.44763,2,2,2,1972.18,1.82122,311.778,1580.88,868.032,0.0,0.0,0.0,172.566,0.0875,0.0480446,0.0,0.0,0.0,0.0,0.0,0.571428571,0.142857143,0.0,0.142857143,0.0,0.142857143,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,2
LTA,8,14,6,9.833333333,3.689323937,1.52,2.1,0.58,1.67,0.31822424,80,101,21,94.83333333,12.50111106,10.0,17.36,7.36,15.25,4.302983461,0.02658,235.0,234.97342,64.18438667,132.9250288,90.2,3173.0,3082.8,1054.3,1934.463424,54.8,1687.0,1632.2,473.2783333,891.7012048,35.4,1858.53,11.30724,4.25426,11.30724,4.25426,4.25426,4.25426,11.30724,11.30724,11.30724,1,3,3,14807.2,1.28182,2501.58,1689.43,1317.99,523.398,353.476,275.76,3226.49,0.2179,0.169992,325.758,0.022,0.0171631,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,3
DON,8,14,6,10.0,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150.0,149.97342,50.01772,106.0472223,90.2,3173.0,3082.8,1117.8,2179.868785,54.8,1687.0,1632.2,598.8666667,1154.139688,35.4,1486.0,8.21019,7.76029,8.21019,2.11982,7.76029,2.02386,8.21019,8.21019,8.21019,2,1,1,3680.06,1.73513,412.676,1121.38,646.281,4.34176,11.7981,6.79951,580.346,0.1577,0.0908864,0.368006,0.0001,5.76e-05,0.0,0.142857143,0.071428571,0.714285714,0.0,0.0,0.0,0.0,0.0,0.0,0,0.071428571,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,2
NAT,8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95.0,12.19265001,10.0,17.36,7.36,15.31866667,4.17427667,0.02658,235.0,234.97342,61.35105333,127.5581437,90.2,3173.0,3082.8,1067.0,1963.904425,54.8,1687.0,1632.2,498.396,939.0837544,35.4,1858.53,2.5995,1.50968,2.5995,1.50968,1.47523,1.50968,2.5995,2.5995,2.5995,0,0,0,1777.37,2.22887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
NAT,8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95.0,12.19265001,10.0,17.36,7.36,15.31866667,4.17427667,0.02658,235.0,234.97342,61.35105333,127.5581437,90.2,3173.0,3082.8,1067.0,1963.904425,54.8,1687.0,1632.2,498.396,939.0837544,35.4,1858.53,2.78499,1.69185,2.7827,1.69185,1.63994,1.69185,2.7827,2.78499,2.7827,0,0,0,1866.28,2.1227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
NAT,8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95.0,12.19265001,10.0,17.36,7.36,15.31866667,4.17427667,0.02658,235.0,234.97342,61.35105333,127.5581437,90.2,3173.0,3082.8,1067.0,1963.904425,54.8,1687.0,1632.2,498.396,939.0837544,35.4,1858.53,2.84873,1.81707,2.84873,1.81707,1.75439,1.81707,2.84873,2.84873,2.84128,0,0,0,1906.64,2.07776,0.0,0.0,0.0,1.00852,5.28951,2.54577,0.0,0.0,0.0,0.190664,0.0001,4.81e-05,0.0,0.5,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
NAT,8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95.0,12.19265001,10.0,17.36,7.36,15.31866667,4.17427667,0.02658,235.0,234.97342,61.35105333,127.5581437,90.2,3173.0,3082.8,1067.0,1963.904425,54.8,1687.0,1632.2,498.396,939.0837544,35.4,1858.53,2.62325,1.52397,2.62325,1.52397,1.50009,1.52397,2.62325,2.61716,2.62325,0,0,0,1794.97,2.20703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
NAT,8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95.0,12.19265001,10.0,17.36,7.36,15.31866667,4.17427667,0.02658,235.0,234.97342,61.35105333,127.5581437,90.2,3173.0,3082.8,1067.0,1963.904425,54.8,1687.0,1632.2,498.396,939.0837544,35.4,1858.53,3.08966,2.29819,3.08966,2.06328,2.29819,2.29819,3.08966,3.08966,3.08966,0,0,0,1960.48,2.0207,0.0,0.0,0.0,43.787,223.349,110.53,0.0,0.0,0.0,2.94072,0.0015,0.000742316,0.0,0.5,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
NAT,8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95.0,12.19265001,10.0,17.36,7.36,15.31866667,4.17427667,0.02658,235.0,234.97342,61.35105333,127.5581437,90.2,3173.0,3082.8,1067.0,1963.904425,54.8,1687.0,1632.2,498.396,939.0837544,35.4,1858.53,3.03473,2.19921,3.02321,2.02219,2.19921,2.19921,3.03473,3.02321,3.02321,0,0,0,1941.83,2.04011,0.0,0.0,0.0,31.3866,161.634,79.2282,0.0,0.0,0.0,1.1651,0.0006,0.000294102,0.0,0.5,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
NAT,8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95.0,12.19265001,10.0,17.36,7.36,15.31866667,4.17427667,0.02658,235.0,234.97342,61.35105333,127.5581437,90.2,3173.0,3082.8,1067.0,1963.904425,54.8,1687.0,1632.2,498.396,939.0837544,35.4,1858.53,3.44985,2.6351,3.44985,2.50693,2.6351,2.6351,3.44985,3.44985,3.44985,0,0,0,2183.08,1.81465,0.0,0.0,0.0,138.14,632.777,348.704,0.0,0.0,0.0,13.5351,0.0062,0.00341663,0.0,0.5,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
LAU,8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10.0,17.36,7.36,15.36444444,4.094462114,0.02658,235.0,234.97342,59.46216444,124.059398,90.2,3173.0,3082.8,1075.466667,1988.294065,54.8,1687.0,1632.2,515.1411111,971.2994236,35.4,1858.53,6.04576,4.11447,6.04576,2.16933,2.16933,4.11447,6.04576,6.04576,6.04576,2,1,1,1354.02,1.75762,183.944,1358.5,772.922,0.0,0.0,0.0,110.353,0.0815,0.0463696,0.0,0.0,0.0,0.0,0.333333333,0.0,0.555555556,0.0,0.0,0.0,0.111111111,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
LAU,8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10.0,17.36,7.36,15.36444444,4.094462114,0.02658,235.0,234.97342,59.46216444,124.059398,90.2,3173.0,3082.8,1075.466667,1988.294065,54.8,1687.0,1632.2,515.1411111,971.2994236,35.4,1858.53,5.95304,4.10178,5.95304,2.11316,2.11316,4.10178,5.95304,5.95304,5.95304,2,1,1,1332.98,1.78537,178.723,1340.78,750.983,0.0,0.0,0.0,107.171,0.0804,0.0450327,0.0,0.0,0.0,0.0,0.333333333,0.0,0.555555556,0.0,0.0,0.0,0.111111111,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
LAU,8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10.0,17.36,7.36,15.36444444,4.094462114,0.02658,235.0,234.97342,59.46216444,124.059398,90.2,3173.0,3082.8,1075.466667,1988.294065,54.8,1687.0,1632.2,515.1411111,971.2994236,35.4,1858.53,5.82106,3.98201,5.82106,2.10744,2.10744,3.98201,5.82106,5.82106,5.82106,2,1,1,1332.93,1.78544,179.922,1349.82,756.019,0.0,0.0,0.0,104.235,0.0782,0.0437988,0.0,0.0,0.0,0.0,0.333333333,0.0,0.555555556,0.0,0.0,0.0,0.111111111,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
LAU,8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10.0,17.36,7.36,15.36444444,4.094462114,0.02658,235.0,234.97342,59.46216444,124.059398,90.2,3173.0,3082.8,1075.466667,1988.294065,54.8,1687.0,1632.2,515.1411111,971.2994236,35.4,1858.53,5.77582,3.96173,5.77582,2.06487,2.06487,3.96173,5.77582,5.77463,5.77582,2,1,1,1336.8,1.78027,181.302,1356.24,761.817,0.0,0.0,0.0,103.602,0.0775,0.0435328,0.0,0.0,0.0,0.0,0.333333333,0.0,0.555555556,0.0,0.0,0.0,0.111111111,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
MEL,8,14,6,10.05714286,4.242640687,1.52,2.1,0.58,1.718857143,0.410121933,85,101,16,95.51428571,11.3137085,12.06,17.36,5.3,15.54285714,3.74766594,0.02658,150.0,149.97342,51.44603829,106.0472223,90.2,3173.0,3082.8,1147.16,2179.868785,54.8,1687.0,1632.2,614.4114286,1154.139688,35.4,1486.0,7.25515,4.88796,7.25515,4.88796,4.88796,4.88796,7.25515,7.25515,7.25515,1,3,3,5362.17,1.7466,848.807,1582.95,906.307,0.0,0.0,0.0,647.751,0.1208,0.069163,0.0,0.0,0.0,0.0,0.125,0.3125,0.25,0.0,0.125,0.0,0.1875,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,2
RSN ,8,30,22,11.18518519,8.518696016,1.52,2.1,0.58,1.706666667,0.381174173,76,101,25,95.0,12.6007305,9.16,17.36,8.2,15.37851852,4.155267741,0.02658,150.0,149.97342,47.79549778,97.77010575,90.2,3173.0,3082.8,970.1703704,1918.677062,54.8,1687.0,1632.2,525.2133333,1017.130497,35.4,1486.0,4.02729,3.17588,3.97696,2.91938,2.15829,3.17588,3.8635,4.02729,3.97696,2,2,2,2144.37,1.90608,362.181,1688.98,886.103,0.0,0.0,0.0,74.4098,0.0347,0.0182049,0.0,0.0,0.0,0.153846154,0.230769231,0.076923077,0.076923077,0.0,0.307692308,0.153846154,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
SOD,8,25,17,12.52631579,9.303897033,1.52,2.1,0.58,1.723157895,0.365316643,60,101,41,89.84210526,22.52359874,7.35,17.36,10.01,14.41578947,5.63057779,0.02658,150.0,149.97342,25.34310316,74.1361182,90.2,3173.0,3082.8,1049.336842,1756.300129,54.8,1687.0,1632.2,620.7684211,1018.454131,35.4,1486.0,2.51827,0.7174,2.51827,0.7174,0.7174,0.7174,2.51827,2.51825,2.51827,0,0,0,571.89,2.88036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,5
SOD,8,25,17,12.52631579,9.303897033,1.52,2.1,0.58,1.723157895,0.365316643,60,101,41,89.84210526,22.52359874,7.35,17.36,10.01,14.41578947,5.63057779,0.02658,150.0,149.97342,25.34310316,74.1361182,90.2,3173.0,3082.8,1049.336842,1756.300129,54.8,1687.0,1632.2,620.7684211,1018.454131,35.4,1486.0,2.629,0.71325,2.629,0.71325,0.71325,0.71325,2.629,2.629,2.629,0,0,0,578.218,2.84884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,5
SOD,8,25,17,12.52631579,9.303897033,1.52,2.1,0.58,1.723157895,0.365316643,60,101,41,89.84210526,22.52359874,7.35,17.36,10.01,14.41578947,5.63057779,0.02658,150.0,149.97342,25.34310316,74.1361182,90.2,3173.0,3082.8,1049.336842,1756.300129,54.8,1687.0,1632.2,620.7684211,1018.454131,35.4,1486.0,2.78465,0.81393,2.78465,0.81393,0.81393,0.81393,2.78465,2.78465,2.78465,0,0,0,598.267,2.75336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,5
SOD,8,32,24,15.36842105,13.53929466,1.52,2.11,0.59,1.724736842,0.368400258,60,101,41,89.68421053,22.59286392,7.35,17.36,10.01,14.66368421,5.488496493,0.02658,60.0,59.97342,11.13257684,29.32253565,90.2,3093.0,3002.8,1036.705263,1727.806743,54.8,1519.0,1464.2,545.6736842,890.3410512,35.4,1881.6,2.56807,0.81806,2.56807,0.81806,0.81806,0.81806,2.56807,2.56807,2.56807,0,0,0,604.401,3.45937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,5
SOD,8,32,24,15.36842105,13.53929466,1.52,2.11,0.59,1.724736842,0.368400258,60,101,41,89.68421053,22.59286392,7.35,17.36,10.01,14.66368421,5.488496493,0.02658,60.0,59.97342,11.13257684,29.32253565,90.2,3093.0,3002.8,1036.705263,1727.806743,54.8,1519.0,1464.2,545.6736842,890.3410512,35.4,1881.6,2.67895,0.84762,2.67895,0.84762,0.84762,0.84762,2.67895,2.67895,2.67895,0,0,0,617.447,3.38628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,5
DON,8,14,6,10.0,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150.0,149.97342,50.01772,106.0472223,90.2,3173.0,3082.8,1117.8,2179.868785,54.8,1687.0,1632.2,598.8666667,1154.139688,35.4,1486.0,8.52322,7.7043,8.52322,2.12482,7.7043,2.03192,8.52322,8.52322,8.37695,2,1,1,3677.68,1.73625,415.635,1130.15,650.915,4.29048,11.6662,6.7192,584.384,0.1589,0.0915188,0.367768,0.0001,5.76e-05,0.0,0.142857143,0.071428571,0.714285714,0.0,0.0,0.0,0.0,0.0,0.0,0,0.071428571,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,2
DON,8,14,6,10.0,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150.0,149.97342,50.01772,106.0472223,90.2,3173.0,3082.8,1117.8,2179.868785,54.8,1687.0,1632.2,598.8666667,1154.139688,35.4,1486.0,8.67404,7.69626,8.67404,2.12482,7.69626,2.03192,8.3677,8.67404,8.54141,2,1,1,3677.68,1.73625,416.816,1133.37,652.765,7.98933,21.7238,12.5119,575.925,0.1566,0.0901942,1.83884,0.0005,0.000287976,0.0,0.142857143,0.071428571,0.714285714,0.0,0.0,0.0,0.0,0.0,0.0,0,0.071428571,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,2
MFI,8,14,6,10.0,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150.0,149.97342,50.01772,106.0472223,90.2,3173.0,3082.8,1117.8,2179.868785,54.8,1687.0,1632.2,598.8666667,1154.139688,35.4,1486.0,6.83821,5.18928,6.83821,5.01734,5.18928,5.01734,6.78785,6.83821,6.83821,1,3,3,5343.32,1.79254,807.955,1512.09,843.545,0.0,0.0,0.0,587.231,0.1099,0.0613098,0.0,0.0,0.0,0.0,0.03846153,0.423,0.308,0.0,0.0,0.0,0.23076,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,2
EDI,8,14,6,9.833333333,3.689323937,1.52,2.1,0.58,1.67,0.31822424,80,101,21,94.83333333,12.50111106,10.0,17.36,7.36,15.25,4.302983461,0.02658,235.0,234.97342,64.18438667,132.9250288,90.2,3173.0,3082.8,1054.3,1934.463424,54.8,1687.0,1632.2,473.2783333,891.7012048,35.4,1858.53,5.63066,2.95329,5.63066,2.95329,2.95329,2.94803,5.63066,5.63066,5.63066,1,3,3,1281.67,1.5426,258.844,2019.58,1309.21,0.0,0.0,0.0,97.663,0.0762,0.049397,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
IFR,8,14,6,10.0,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150.0,149.97342,50.01772,106.0472223,90.2,3173.0,3082.8,1117.8,2179.868785,54.8,1687.0,1632.2,598.8666667,1154.139688,35.4,1486.0,6.93445,6.1688,6.82926,1.38104,1.38104,6.1688,6.93445,6.46012,6.82926,2,1,1,1841.43,1.73381,293.528,1594.02,919.374,0.0,0.0,0.0,263.325,0.143,0.0824772,0.0,0.0,0.0,0.0,0.363636364,0.090909091,0.363636364,0.0,0.0,0.0,0.0,0.0,0.181818182,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,2
CFI,8,14,6,10.0,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150.0,149.97342,50.01772,106.0472223,90.2,3173.0,3082.8,1117.8,2179.868785,54.8,1687.0,1632.2,598.8666667,1154.139688,35.4,1486.0,7.31461,7.09315,7.31461,2.34928,7.09315,1.86954,7.31461,7.31461,7.31461,2,1,1,1753.31,1.82096,203.459,1160.43,637.262,31.7389,181.023,99.4109,222.319,0.1268,0.0696336,3.33128,0.0019,0.00104341,0.0,0.142857143,0.285714286,0.428571429,0.0,0.0,0.0,0.0,0.0,0.0,0,0.142857143,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,2
ANA,8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10.0,17.36,7.36,15.36444444,4.094462114,0.02658,235.0,234.97342,59.46216444,124.059398,90.2,3173.0,3082.8,1075.466667,1988.294065,54.8,1687.0,1632.2,515.1411111,971.2994236,35.4,1858.53,3.96215,2.28196,3.96215,2.28196,2.28196,2.28196,3.96215,3.96215,3.96215,0,0,0,2546.27,1.86929,0.0,0.0,0.0,185.186,727.283,389.069,0.0,0.0,0.0,34.3746,0.0135,0.00722198,0.0,0.333333333,0.0,0.333333333,0.0,0.333333333,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
FAU,8,14,6,9.833333333,3.689323937,1.52,2.1,0.58,1.67,0.31822424,80,101,21,94.83333333,12.50111106,10.0,17.36,7.36,15.25,4.302983461,0.02658,235.0,234.97342,64.18438667,132.9250288,90.2,3173.0,3082.8,1054.3,1934.463424,54.8,1687.0,1632.2,473.2783333,891.7012048,35.4,1858.53,11.29944,7.63704,11.29944,7.63704,7.63704,7.63704,11.29944,11.29944,11.29944,1,3,3,15008.0,1.26467,2352.77,1567.68,1239.59,302.119,201.305,159.176,4299.79,0.2865,0.226541,141.075,0.0094,0.00743274,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,3
FAU,8,14,6,9.833333333,3.689323937,1.52,2.1,0.58,1.67,0.31822424,80,101,21,94.83333333,12.50111106,10.0,17.36,7.36,15.25,4.302983461,0.02658,235.0,234.97342,64.18438667,132.9250288,90.2,3173.0,3082.8,1054.3,1934.463424,54.8,1687.0,1632.2,473.2783333,891.7012048,35.4,1858.53,11.17178,7.25102,11.10445,7.25102,7.25102,7.25102,11.17178,11.10445,11.17178,1,3,3,15007.8,1.26469,2360.99,1573.17,1243.92,285.905,190.504,150.633,4298.23,0.2864,0.226459,129.067,0.0086,0.00680009,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,3
MFI,8,14,6,10.0,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150.0,149.97342,50.01772,106.0472223,90.2,3173.0,3082.8,1117.8,2179.868785,54.8,1687.0,1632.2,598.8666667,1154.139688,35.4,1486.0,6.79809,5.03354,6.72317,5.03354,4.54584,4.54584,6.72317,6.63576,6.79809,1,3,3,5320.36,1.80027,803.081,1509.45,838.456,0.0,0.0,0.0,554.382,0.1042,0.0578802,0.0,0.0,0.0,0.0,0.03846153,0.423,0.308,0.0,0.0,0.0,0.23076,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,2
LAU,8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10.0,17.36,7.36,15.36444444,4.094462114,0.02658,235.0,234.97342,59.46216444,124.059398,90.2,3173.0,3082.8,1075.466667,1988.294065,54.8,1687.0,1632.2,515.1411111,971.2994236,35.4,1858.53,5.87807,3.98487,5.87807,2.09408,2.09408,3.98487,5.87807,5.87807,5.87807,2,1,1,1351.05,1.76148,186.064,1377.18,781.829,0.0,0.0,0.0,112.272,0.0831,0.0471761,0.0,0.0,0.0,0.0,0.333333333,0.0,0.555555556,0.0,0.0,0.0,0.111111111,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
CHA,8,14,6,9.833333333,3.689323937,1.52,2.1,0.58,1.67,0.31822424,80,101,21,94.83333333,12.50111106,10.0,17.36,7.36,15.25,4.302983461,0.02658,235.0,234.97342,64.18438667,132.9250288,90.2,3173.0,3082.8,1054.3,1934.463424,54.8,1687.0,1632.2,473.2783333,891.7012048,35.4,1858.53,6.04987,3.85402,6.04987,3.0474,3.12112,3.85402,6.04987,5.96045,6.04987,1,3,3,796.4,1.48953,163.528,2053.34,1378.52,0.629612,7.90572,5.30753,99.2314,0.1246,0.0836505,0.07964,0.0001,6.71e-05,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
