Framework,Minimum Z,Maximum Z,Range Z,Mean Z,Std_dev Z,Minimum van_der_waals_radius,Maximum van_der_waals_radius,Range van_der_waals_radius,Mean van_der_waals_radius,Std_dev van_der_waals_radius,Minimum mendeleev_no,Maximum mendeleev_no,Range mendeleev_no,Mean mendeleev_no,Std_dev mendeleev_no,Minimum molar_volume,Maximum molar_volume,Range molar_volume,Mean molar_volume,Std_dev molar_volume,Minimum thermal_conductivity,Maximum thermal_conductivity,Range thermal_conductivity,Mean thermal_conductivity,Std_+Z:AGv thermal_conductivity,Minimum boiling_point,Maximum boiling_point,Range boiling_point,Mean boiling_point,Std_dev boiling_point,Minimum melting_point,Maximum melting_point,Range melting_point,Mean melting_point,Std_dev melting_point,Minimum liquid_Range,Maximum liquid_Range,LCD,PLD,GCD,PLD-a,PLD-b,PLD-c,LCD-a,LCD-b,LCD-c,Number of channels,Max dimension of channel,Min dimension of channel,Unitcell_volume,Density,ASA_A^2,ASA_m^2/cm^3,ASA_m^2/g,NASA_A^2,NASA_m^2/cm^3,NASA_m^2/g,AV_A^3,AV_Volume_fraction,AV_cm^3/g,NAV_A^3,NAV_Volume_fraction,NAV_cm^3/g,Ring topology size-3,Ring topology size-4,Ring topology size-5,Ring topology size-6,Ring topology size-7,Ring topology size-8,Ring topology size-9,Ring topology size-10,Ring topology size-11,Ring topology size-12,Ring topology size-13,Ring topology size-14,Ring topology size-15,Ring topology size-16,Ring topology size-17,Ring topology size-18,Ring topology size-19,Ring topology size-20,Ring topology size-21,Ring topology size-22,Ring topology size-23,Ring topology size-24,Ring topology size-25,Ring topology size-26,Ring topology size-27,Ring topology size-28,Ring topology size-29,Ring topology size-30,Cluster
MFI,8,14,6,10.0,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150.0,149.97342,50.01772,106.0472223,90.2,3173.0,3082.8,1117.8,2179.868785,54.8,1687.0,1632.2,598.8666667,1154.139688,35.4,1486.0,6.57725,4.89139,6.57725,4.89139,4.45822,4.45822,6.57725,6.52477,6.57725,1,3,3,5298.71,1.80763,782.639,1477.04,817.113,0.0,0.0,0.0,528.811,0.0998,0.0552104,0.0,0.0,0.0,0.0,0.03846153,0.423,0.308,0.0,0.0,0.0,0.23076,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,2
MFI,8,14,6,10.0,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150.0,149.97342,50.01772,106.0472223,90.2,3173.0,3082.8,1117.8,2179.868785,54.8,1687.0,1632.2,598.8666667,1154.139688,35.4,1486.0,6.78391,4.97979,6.78391,4.97979,4.84888,4.84888,6.78391,6.78391,6.78391,1,3,3,5450.0,1.75745,824.83,1513.45,861.163,0.0,0.0,0.0,613.67,0.1126,0.0640702,0.0,0.0,0.0,0.0,0.03846153,0.423,0.308,0.0,0.0,0.0,0.23076,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,2
NAT,8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95.0,12.19265001,10.0,17.36,7.36,15.31866667,4.17427667,0.02658,235.0,234.97342,61.35105333,127.5581437,90.2,3173.0,3082.8,1067.0,1963.904425,54.8,1687.0,1632.2,498.396,939.0837544,35.4,1858.53,3.63474,2.86504,3.63474,2.86504,2.55755,2.86504,3.63474,3.63474,3.63474,2,2,2,1141.6,1.73508,133.836,1172.35,675.675,0.0,0.0,0.0,11.416,0.01,0.00576341,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
GIS,8,14,6,9.833333333,3.689323937,1.52,2.1,0.58,1.67,0.31822424,80,101,21,94.83333333,12.50111106,10.0,17.36,7.36,15.25,4.302983461,0.02658,235.0,234.97342,64.18438667,132.9250288,90.2,3173.0,3082.8,1054.3,1934.463424,54.8,1687.0,1632.2,473.2783333,891.7012048,35.4,1858.53,4.9829,3.50181,4.9829,3.05435,3.05435,3.50181,4.9829,4.94832,4.9829,1,3,3,1052.87,1.50227,249.402,2368.8,1576.82,0.0,0.0,0.0,97.2848,0.0924,0.0615071,0.0,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
CAN,8,14,6,9.833333333,3.689323937,1.52,2.1,0.58,1.67,0.31822424,80,101,21,94.83333333,12.50111106,10.0,17.36,7.36,15.25,4.302983461,0.02658,235.0,234.97342,64.18438667,132.9250288,90.2,3173.0,3082.8,1054.3,1934.463424,54.8,1687.0,1632.2,473.2783333,891.7012048,35.4,1858.53,6.21579,5.84621,6.21579,1.50189,1.50189,5.84621,6.21579,6.21579,6.21579,1,1,1,723.626,1.63933,64.5794,892.441,544.394,36.9439,510.538,311.431,49.7855,0.0688,0.0419683,10.9268,0.0151,0.00921107,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
HEU,8,14,6,10.0,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150.0,149.97342,50.01772,106.0472223,90.2,3173.0,3082.8,1117.8,2179.868785,54.8,1687.0,1632.2,598.8666667,1154.139688,35.4,1486.0,5.88432,3.71117,5.88432,3.08834,1.37731,3.71117,5.88432,5.88432,5.88432,2,2,2,2108.37,1.70358,397.849,1887.0,1107.66,0.0,0.0,0.0,198.82,0.0943,0.055354,0.0,0.0,0.0,0.0,0.25,0.375,0.0,0.0,0.25,0.0,0.125,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,2
STI,8,14,6,10.0,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150.0,149.97342,50.01772,106.0472223,90.2,3173.0,3082.8,1117.8,2179.868785,54.8,1687.0,1632.2,598.8666667,1154.139688,35.4,1486.0,6.07823,4.58271,6.07823,4.58271,1.65955,2.90874,6.07823,6.07823,6.07823,2,2,2,4392.85,1.63529,814.322,1853.74,1133.59,0.0,0.0,0.0,528.46,0.1203,0.073565,0.0,0.0,0.0,0.0,0.285714286,0.142857143,0.142857143,0.0,0.285714286,0.0,0.142857143,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,2
ETV,8,14,6,10.0,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150.0,149.97342,50.01772,106.0472223,90.2,3173.0,3082.8,1117.8,2179.868785,54.8,1687.0,1632.2,598.8666667,1154.139688,35.4,1486.0,5.80549,3.12388,5.76345,2.54022,3.12388,2.7494,5.80549,5.76345,5.80549,1,1,1,819.228,1.70503,137.568,1679.24,984.875,0.0,0.0,0.0,78.6459,0.096,0.0563041,0.0,0.0,0.0,0.0,0.416666667,0.166666667,0.083333333,0.0,0.166666667,0.0,0.166666667,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,2
ETV,8,14,6,10.0,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150.0,149.97342,50.01772,106.0472223,90.2,3173.0,3082.8,1117.8,2179.868785,54.8,1687.0,1632.2,598.8666667,1154.139688,35.4,1486.0,5.7948,3.68109,5.7948,3.03351,3.68109,3.27286,5.78573,5.7948,5.77925,1,3,3,844.395,1.65421,167.052,1978.37,1195.96,0.0,0.0,0.0,90.0969,0.1067,0.0645021,0.0,0.0,0.0,0.0,0.416666667,0.166666667,0.083333333,0.0,0.166666667,0.0,0.166666667,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,2
ETV,8,14,6,10.0,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150.0,149.97342,50.01772,106.0472223,90.2,3173.0,3082.8,1117.8,2179.868785,54.8,1687.0,1632.2,598.8666667,1154.139688,35.4,1486.0,5.79535,3.61044,5.79535,3.05149,3.61044,3.26234,5.79535,5.79535,5.79306,1,3,3,844.443,1.65411,168.469,1995.03,1206.1,0.0,0.0,0.0,91.9599,0.1089,0.0658359,0.0,0.0,0.0,0.0,0.416666667,0.166666667,0.083333333,0.0,0.166666667,0.0,0.166666667,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,2
